"","Animal_A.tifdiff_vec2.txt","Animal_B.tiffdiff_vec2.txt","Animal_C.tifdiff_vec2.txt","Animal_D.tifdiff_vec2.txt","Animal_E.tifdiff_vec2.txt","Animal_F.tifdiff_vec2.txt","Animal_G.tifdiff_vec2.txt","Animal_H.tifdiff_vec2.txt","Animal_I.tifdiff_vec2.txt","Animal_J.tifdiff_vec2.txt","Animal_K.tifdiff_vec2.txt","Animal_L.tifdiff_vec2.txt","Animal_M.tifdiff_vec2.txt","Animal_N.tifdiff_vec2.txt","Animal_O.tifdiff_vec2.txt","Animal_P.tiffdiff_vec2.txt","Animal_R.tiffdiff_vec2.txt","Animal_U.tifdiff_vec2.txt","Animal_V.tifdiff_vec2.txt","Animal_W.tifdiff_vec2.txt","Animal_X.tifdiff_vec2.txt","Animal_Y.tifdiff_vec2.txt","Animal_Z.tifdiff_vec2.txt","Animal_Z1.tifdiff_vec2.txt","Animal_Z10.tiffdiff_vec2.txt","Animal_Z2.tifdiff_vec2.txt","Animal_Z4.tifdiff_vec2.txt","Animal_Z6.tiffdiff_vec2.txt","Animal_Z8.tiffdiff_vec2.txt","Animal_Z9.tiffdiff_vec2.txt"
"22",145.64,9.02,49.94,44.88,33.66,132,18.92,37.84,121.44,21.34,20.24,23.1,26.84,44,86.46,16.06,56.76,29.26,19.8,32.34,64.68,249.92,32.34,36.08,43.12,29.26,51.7,37.62,31.46,29.48
"23",145.64,9.02,49.94,44.88,33.66,132,18.92,37.84,121.66,21.56,20.02,22.88,26.84,44,85.8,16.28,56.76,29.26,19.8,32.56,64.68,249.92,32.56,36.08,43.12,29.26,51.7,37.62,31.46,29.26
"24",145.64,9.02,49.72,44.88,33.66,131.78,18.26,38.28,121.88,21.78,19.8,22.66,26.84,44,85.8,16.5,56.76,29.04,19.8,32.56,64.68,249.92,32.56,36.08,43.12,29.26,51.7,37.62,31.46,29.04
"25",145.86,9.24,49.72,44.88,33.22,131.56,18.26,38.5,124.3,22,19.58,22.44,26.84,44,85.8,16.5,56.76,28.6,19.14,32.56,64.68,249.92,32.56,36.3,43.12,29.26,51.7,37.62,31.46,28.82
"26",146.08,9.68,49.72,43.34,33.44,131.78,18.26,38.5,124.52,22.66,19.58,22.22,26.84,44,85.8,16.5,56.76,28.6,19.14,32.12,64.68,249.92,32.56,36.3,43.12,29.26,51.48,37.62,31.24,28.6
"27",146.3,10.34,49.72,43.34,33.66,131.78,18.26,38.72,124.52,22.88,19.58,22.88,26.84,44,85.14,15.84,56.76,25.96,19.14,31.68,64.68,249.92,32.56,36.3,43.12,29.26,51.48,37.62,31.02,28.38
"28",146.3,10.56,49.5,43.34,33.66,131.78,18.26,38.72,124.52,22.66,19.58,22.88,26.84,44.66,84.92,15.84,56.76,25.74,19.58,31.02,64.68,249.92,32.56,36.52,43.12,29.26,51.48,37.62,30.8,29.26
"29",146.3,11,49.5,43.34,33.66,131.78,18.26,39.38,125.18,22.66,19.58,23.32,26.62,44.66,84.7,15.84,56.76,25.52,19.58,31.02,64.68,250.36,32.56,36.52,43.12,29.26,51.26,37.62,30.58,29.04
"30",146.3,11.44,49.28,43.34,33.66,131.78,18.92,39.6,125.18,22.44,19.58,23.32,26.4,44.66,84.48,15.18,56.76,25.3,20.24,30.58,64.68,250.58,25.08,36.52,43.12,29.26,51.04,37.62,30.36,28.82
"31",146.96,11.88,48.62,43.34,33.22,131.78,18.92,39.6,125.18,22.44,19.58,26.84,26.4,44.66,84.26,15.18,56.76,24.86,20.24,30.36,64.68,250.58,25.08,36.52,43.12,29.26,50.82,37.62,30.14,28.6
"32",146.96,12.32,48.4,43.34,33.22,132,18.92,40.04,125.18,22.44,19.58,26.84,26.18,44,84.04,15.18,56.1,24.64,20.24,30.14,64.68,250.8,36.52,36.52,43.12,29.26,50.16,37.62,29.92,28.38
"33",146.96,12.76,47.96,43.12,33.22,132.22,18.92,40.26,125.18,22,19.58,26.84,26.18,44,83.82,14.74,56.1,24.64,21.56,30.14,64.68,250.8,36.52,36.74,43.12,29.26,49.94,37.62,29.7,27.06
"34",146.96,12.76,47.74,42.9,33.22,132.44,18.92,40.48,124.96,22,19.58,27.94,26.18,44,83.82,14.74,56.1,24.2,21.78,29.7,65.56,251.24,36.52,36.74,43.12,29.26,49.94,39.16,29.48,27.06
"35",146.96,12.98,47.74,42.68,33.22,132.44,18.92,40.48,124.74,21.56,19.58,28.38,26.18,43.34,83.82,14.52,56.76,24.2,22,29.26,65.56,251.68,36.52,36.74,43.12,29.26,49.94,39.16,31.46,27.06
"36",146.96,13.2,47.52,42.24,33.22,132.44,18.92,40.92,124.74,21.56,20.24,29.04,26.18,43.34,83.82,14.52,56.76,24.2,23.1,29.26,65.56,252.12,36.52,36.96,43.12,30.14,49.72,39.16,31.46,27.06
"37",146.96,13.2,46.86,42.24,33.88,132.44,18.92,40.92,124.74,21.34,20.24,29.04,26.18,43.34,83.82,14.3,56.76,24.2,23.1,29.04,65.56,252.12,36.52,36.96,43.12,29.92,49.5,39.16,31.46,27.06
"38",146.96,13.64,46.64,42.24,33.88,132.44,18.92,40.92,124.74,21.12,20.24,30.14,26.18,43.34,83.82,15.4,56.76,24.2,24.42,28.82,65.78,252.12,36.52,36.96,43.12,29.92,49.28,39.16,31.46,27.06
"39",146.96,14.08,46.64,42.24,33.88,132.44,20.24,40.7,125.18,21.12,20.9,30.14,26.18,42.46,83.82,15.4,56.98,24.2,24.42,28.82,66,252.12,36.52,36.96,43.12,29.7,49.06,39.16,31.46,27.06
"40",147.62,14.08,46.64,42.24,34.54,132.44,20.24,40.7,125.18,21.12,20.9,30.14,26.84,42.46,83.82,15.4,57.2,24.2,24.42,28.82,66.22,252.12,37.18,36.96,42.9,29.7,48.84,39.16,31.46,27.06
"41",147.62,13.86,46.42,42.46,34.54,132.44,20.24,40.48,126.28,21.12,20.9,31.02,26.62,42.46,83.82,15.4,57.42,24.2,25.52,28.16,66.44,252.12,37.18,36.96,42.68,29.7,48.62,42.02,31.46,27.06
"42",147.62,13.64,45.98,42.24,34.54,132.66,20.9,40.26,126.28,20.68,20.9,31.24,26.62,41.58,83.82,15.4,57.42,24.2,25.52,28.16,66.44,252.34,36.74,37.18,42.46,29.48,48.62,42.02,31.46,27.06
"43",148.5,13.42,45.98,42.46,34.54,132.88,20.9,40.04,126.28,20.68,20.9,31.68,26.62,41.36,83.82,15.4,57.42,24.2,25.52,28.16,66.44,252.56,36.74,37.18,42.24,29.48,48.62,42.02,31.46,27.06
"44",148.72,13.2,45.54,42.68,33.88,132.44,20.9,39.82,127.38,20.68,20.9,31.9,26.4,41.14,83.82,15.4,57.42,24.2,25.52,27.94,66.44,253,36.74,37.18,42.02,29.48,48.18,42.02,31.24,27.06
"45",148.94,13.2,45.54,42.68,33.88,132.66,22,39.82,127.82,20.46,20.9,33.22,26.84,40.26,83.82,15.4,57.42,24.2,25.52,27.72,66.44,253,36.74,37.4,41.8,29.48,48.18,42.02,31.02,27.06
"46",148.94,12.54,45.54,42.68,33.88,133.54,21.78,39.82,132.22,20.24,21.56,33.22,26.84,40.04,83.82,16.72,57.42,24.2,25.3,27.72,66.66,253.44,36.74,37.4,41.58,29.48,48.18,42.02,30.8,27.06
"47",148.94,12.54,45.54,42.24,33.88,133.76,21.56,39.82,132.44,20.24,21.56,33.22,26.62,39.82,84.04,16.94,57.42,24.2,25.08,27.94,66.88,253.66,36.74,38.28,41.58,33.22,47.96,45.1,30.58,27.06
"48",148.94,12.54,45.54,37.18,33.88,133.98,21.56,39.82,133.32,20.24,21.56,34.1,26.62,39.6,84.26,17.16,57.42,24.2,24.86,28.16,67.1,253.88,36.74,38.5,41.58,33.22,47.74,45.1,30.36,27.06
"49",149.16,12.54,45.32,37.18,33.88,133.54,21.56,40.04,133.32,20.24,22.22,34.1,26.62,39.38,84.7,17.16,57.64,24.2,23.98,28.16,67.1,253.88,36.3,38.72,41.58,33.22,46.86,45.1,30.14,27.06
"50",149.38,12.54,45.32,36.74,33.66,133.54,21.56,40.04,133.32,20.24,22.22,34.32,26.84,39.16,85.14,17.16,57.86,24.86,23.76,28.38,67.1,253.88,36.08,38.5,41.58,33.22,46.86,45.1,29.92,27.06
"51",149.6,12.54,45.1,36.74,33.44,134.2,21.34,40.04,133.98,20.24,22.22,34.54,27.06,38.94,85.8,17.16,58.08,25.52,23.32,28.82,67.1,253.88,35.64,38.5,41.58,33.22,46.86,45.1,29.7,27.06
"52",149.82,12.54,45.54,36.96,33.22,134.2,20.46,40.04,134.2,20.46,24.42,34.76,27.28,38.06,86.02,17.16,58.08,26.18,23.54,29.04,67.1,253.88,35.42,38.28,41.58,33.22,46.42,45.1,29.48,27.06
"53",150.04,12.54,45.54,36.96,33.88,134.2,19.14,40.04,134.42,20.68,24.42,34.76,27.28,38.06,86.24,17.16,58.08,26.4,23.76,29.48,67.32,254.1,35.2,38.28,41.58,33.22,46.42,45.1,29.26,27.06
"54",150.48,12.54,45.54,36.52,33.88,134.64,19.14,40.04,134.42,20.68,24.42,34.76,27.28,38.06,86.46,17.82,58.08,26.84,23.54,29.92,67.54,254.32,35.42,38.06,41.58,33.22,45.76,43.78,29.04,27.06
"55",150.7,12.54,45.54,34.54,33.88,134.64,19.14,40.04,134.42,20.9,24.42,34.76,27.28,38.06,86.68,17.82,58.08,27.28,23.32,30.36,67.76,254.54,36.52,37.84,41.58,33,45.76,43.78,28.82,27.06
"56",151.14,12.54,45.54,34.32,33.66,134.64,19.36,40.04,134.64,21.56,24.42,34.76,27.28,36.74,86.68,17.82,58.08,27.5,23.1,30.8,67.1,254.54,36.52,37.84,41.58,33,45.76,43.78,28.6,27.06
"57",151.36,12.54,45.98,34.32,33.44,134.86,19.58,40.04,134.86,22.22,24.42,34.76,27.28,36.74,86.68,17.82,58.08,28.16,23.1,31.02,67.1,255.42,36.08,38.06,41.58,32.78,45.76,43.78,28.38,27.06
"58",151.8,12.54,45.98,34.32,33.22,135.08,19.8,40.04,134.86,22.44,25.08,34.76,27.28,36.74,86.68,17.82,58.08,28.38,23.1,31.24,67.1,255.64,36.08,38.72,41.58,32.78,45.76,43.78,28.16,27.06
"59",152.02,12.54,46.64,34.1,33,135.3,20.46,39.82,134.86,22.66,25.08,34.76,27.28,36.08,86.68,17.82,58.08,28.6,23.1,31.68,67.1,255.86,36.52,38.72,41.58,32.78,46.42,43.78,27.94,27.06
"60",152.24,12.54,46.64,33.88,32.78,135.3,20.68,39.6,134.86,22.66,25.08,34.76,27.28,36.3,86.9,17.16,58.08,28.82,23.1,32.34,67.1,257.18,36.52,38.72,41.58,32.56,46.42,43.78,27.72,25.74
"61",153.12,12.54,46.64,33.66,32.56,135.3,20.9,38.94,134.86,22.66,25.08,34.76,27.28,36.52,87.12,17.16,58.08,29.26,23.1,33,67.1,257.4,36.96,39.38,41.58,32.56,46.42,43.56,27.72,25.74
"62",153.34,7.04,46.64,33.44,32.56,135.3,21.56,38.72,134.86,22.66,25.08,35.2,27.28,36.52,87.34,17.16,58.08,29.26,23.1,33.44,67.1,257.84,36.96,39.38,41.58,32.56,46.2,43.34,27.72,25.74
"63",153.56,7.04,46.64,33.44,32.56,135.3,21.78,38.5,134.86,22.66,25.08,35.2,27.28,36.3,87.34,16.5,58.08,29.48,23.1,34.32,67.1,258.28,37.4,39.6,41.58,32.56,45.98,43.12,27.72,25.74
"64",154.22,7.04,46.64,29.48,32.56,134.42,22,38.28,134.86,22.66,25.08,35.42,27.28,36.08,87.34,16.5,58.08,29.48,23.1,34.76,67.98,258.94,37.4,39.6,41.58,32.56,46.42,42.9,27.72,25.74
"65",154.44,7.04,46.64,29.48,32.34,134.2,25.3,37.84,134.64,22.66,25.08,35.64,27.28,35.86,87.34,16.06,58.08,29.26,23.1,35.2,67.98,259.16,37.4,39.82,41.58,32.56,46.42,42.68,27.72,25.74
"66",154.44,7.7,46.64,29.48,32.12,133.54,25.52,37.62,134.42,22,25.08,35.86,27.06,35.64,87.34,15.84,58.08,29.26,23.1,36.74,67.98,260.04,37.4,39.82,41.58,32.56,46.42,42.46,27.72,25.96
"67",156.2,7.92,46.64,29.48,31.9,133.54,25.74,37.4,134.42,22,25.08,36.08,26.84,35.64,87.34,15.62,58.08,29.26,23.1,37.18,67.98,260.04,37.84,40.04,41.58,32.56,46.42,42.24,27.72,25.96
"68",156.42,8.14,46.64,29.48,31.24,133.54,28.6,37.4,134.2,22,25.74,36.3,26.84,35.64,87.34,14.74,58.08,21.78,23.1,37.62,67.98,260.04,37.84,40.26,41.58,31.68,46.42,42.24,27.72,25.96
"69",156.86,8.36,46.64,29.48,31.02,132.88,28.6,37.18,134.2,17.16,25.74,36.52,26.84,36.52,87.12,14.74,58.08,21.78,23.1,37.84,67.98,260.04,38.72,40.48,41.58,31.68,46.42,42.24,27.72,25.96
"70",157.52,8.58,45.98,29.48,31.02,132.66,28.6,37.18,134.2,17.16,25.74,36.74,27.28,36.52,86.9,14.74,57.42,21.78,23.1,38.06,67.98,260.26,38.72,40.7,41.58,31.68,46.42,42.24,27.72,25.96
"71",157.52,8.8,45.98,29.04,30.8,132.44,29.26,37.18,133.98,17.16,25.74,38.5,27.06,36.52,86.68,14.74,57.42,21.56,23.32,38.94,62.04,260.7,38.72,40.92,41.58,31.68,46.2,42.24,27.72,25.74
"72",157.52,9.24,45.98,29.04,30.8,132.22,29.26,36.74,133.76,17.16,25.74,38.72,26.84,36.52,86.46,14.74,57.42,21.12,23.54,39.16,61.82,260.92,38.72,41.14,41.58,31.02,45.98,42.24,27.72,25.52
"73",157.74,9.68,45.98,29.04,30.58,132,29.26,36.96,133.54,16.72,25.74,39.38,27.28,37.18,86.46,14.08,57.42,21.12,24.42,39.16,61.6,261.14,38.28,41.36,41.58,31.02,45.98,42.24,27.72,25.3
"74",157.96,9.9,45.98,28.82,29.92,131.34,29.26,36.96,133.32,16.72,25.08,39.82,27.28,37.18,86.46,14.08,57.64,21.12,24.42,39.38,61.38,261.36,38.28,41.58,41.58,31.02,45.98,40.7,27.72,25.08
"75",158.18,9.9,45.98,28.82,29.92,131.34,29.26,36.96,133.1,16.72,25.08,40.26,27.94,37.18,86.46,14.08,57.86,20.02,23.76,39.6,61.16,261.8,38.28,41.8,41.58,30.14,45.98,40.7,27.72,24.86
"76",158.18,10.12,45.54,27.94,29.92,131.34,29.26,37.4,132.88,16.5,25.08,41.8,27.94,37.4,86.24,14.08,57.42,19.8,23.98,39.6,60.94,261.8,38.06,41.8,41.58,30.36,45.98,40.7,27.72,24.64
"77",158.18,10.12,45.54,27.94,29.26,131.12,29.26,36.74,132.66,16.28,25.08,41.8,28.16,37.4,86.02,13.86,57.42,18.7,24.2,39.82,60.72,261.8,37.84,42.02,41.58,30.58,45.98,40.7,29.48,24.42
"78",158.18,10.34,45.54,27.94,29.26,130.9,29.48,37.18,132.44,16.28,25.08,42.9,28.16,37.4,85.8,13.64,57.42,18.7,24.2,40.26,60.5,262.46,37.84,42.24,41.58,30.8,45.32,40.7,29.48,24.2
"79",158.84,10.56,45.54,27.72,29.26,130.24,29.7,36.96,131.56,16.28,25.08,43.12,28.16,37.18,85.8,13.64,56.1,18.48,24.2,40.26,60.28,262.46,37.84,42.46,41.58,30.14,45.32,40.7,29.48,23.98
"80",158.84,10.78,45.54,27.72,29.26,130.24,29.92,36.52,131.12,15.62,25.08,44,28.38,36.96,85.8,13.64,56.1,18.26,24.2,40.7,60.06,263.34,37.84,42.46,41.58,30.36,45.32,40.7,29.48,23.76
"81",158.84,10.78,45.54,27.72,29.26,129.8,29.92,36.3,130.68,15.62,25.08,44.22,28.6,36.74,85.8,13.64,56.1,19.14,24.2,41.14,59.84,263.56,37.84,42.24,41.58,30.58,45.32,39.38,29.48,23.54
"82",158.84,10.56,45.1,28.38,29.26,129.8,29.92,36.08,130.02,15.62,25.08,44.44,28.6,36.52,85.8,13.64,53.9,19.58,24.2,41.36,58.96,263.56,37.4,42.46,41.58,29.26,45.32,39.38,29.48,23.54
"83",158.84,10.56,45.1,28.38,28.6,129.8,29.26,35.86,129.36,15.62,25.08,44.88,28.38,35.86,85.8,13.64,54.12,19.36,23.76,41.58,58.74,263.56,37.18,42.46,41.58,29.48,44.88,39.38,29.48,23.54
"84",158.84,10.56,45.1,28.38,28.6,129.14,29.26,34.98,128.7,15.62,24.86,44.88,28.38,35.86,85.8,13.64,54.34,19.8,23.98,42.02,58.74,263.56,36.96,42.46,43.12,29.7,44.88,39.38,29.48,23.54
"85",159.5,10.56,45.1,28.82,28.6,129.14,28.6,33.88,127.6,15.62,24.64,44.88,28.38,35.86,85.8,13.64,54.56,19.8,24.2,42.46,58.74,263.56,36.52,42.46,43.12,29.92,44.22,39.38,29.48,23.54
"86",159.5,10.56,45.1,29.04,28.6,128.48,28.6,33.44,126.94,15.62,24.42,44.88,28.38,51.48,85.8,13.64,54.56,19.8,23.76,42.46,58.52,263.56,36.3,42.24,43.12,29.48,44.22,39.38,31.46,23.54
"87",159.5,10.34,45.1,29.04,28.6,128.26,28.6,33.22,126.5,15.62,24.42,45.54,28.6,51.48,85.8,13.64,54.56,19.8,23.76,41.8,58.52,263.12,35.86,42.02,43.12,29.48,44.22,37.84,31.46,23.54
"88",159.5,10.34,45.1,29.26,28.6,128.04,27.72,32.78,126.28,15.62,24.42,45.54,28.38,51.48,85.8,13.64,54.56,19.8,23.76,41.14,58.52,263.12,34.98,42.02,43.12,29.48,38.94,37.84,31.46,23.54
"89",159.5,10.12,44.66,29.7,28.6,128.04,27.5,32.12,126.5,15.84,24.42,45.54,28.38,51.48,85.8,13.64,54.56,19.8,26.18,41.14,55.88,263.12,34.76,41.8,43.12,29.48,38.94,37.84,31.46,23.54
"90",159.5,10.12,44.66,29.92,28.6,128.04,27.28,31.68,126.06,16.06,24.42,45.54,28.38,49.94,85.8,13.64,54.56,19.8,26.4,40.92,55.88,263.12,33.88,41.58,43.12,29.48,38.5,37.84,31.46,23.54
"91",160.82,9.9,44.44,29.92,28.6,128.04,26.62,31.46,126.06,16.06,24.42,45.54,28.38,49.94,84.92,13.64,54.56,19.8,30.36,40.7,55.88,263.12,33.88,41.36,43.12,29.48,38.5,37.84,31.46,23.54
"92",160.82,9.9,44.22,29.92,27.94,127.82,26.62,31.24,125.84,16.06,24.42,45.54,28.38,49.94,84.7,13.64,54.56,19.8,30.8,40.7,55.66,263.12,28.38,41.14,43.12,29.48,38.5,37.84,31.46,23.54
"93",160.82,9.68,43.78,29.92,27.94,127.6,26.62,30.8,124.96,16.06,24.42,45.54,28.38,48.4,84.48,13.86,54.56,19.8,31.24,40.48,55.66,263.12,28.16,40.92,43.34,29.48,37.84,37.84,31.46,23.32
"94",160.82,9.46,43.56,29.92,27.94,126.72,25.3,30.36,124.52,16.06,24.42,45.54,28.16,48.62,84.26,14.08,54.56,20.02,32.78,40.48,55.66,263.12,27.5,40.92,43.56,29.48,37.84,36.3,33.44,23.1
"95",160.82,9.46,43.56,29.92,27.94,126.5,25.3,30.36,124.3,16.06,24.42,45.54,28.16,48.84,84.04,14.08,54.56,20.46,33.44,40.04,55.66,263.12,27.28,41.14,43.78,29.48,37.4,36.52,33.44,22.88
"96",160.82,9.24,43.56,29.92,27.94,125.84,25.3,30.36,123.42,16.06,24.42,45.54,28.16,49.06,83.82,14.08,54.34,20.46,33.88,40.04,55.66,263.12,26.18,41.14,44,29.48,37.4,36.74,33.44,22.66
"97",161.48,9.24,43.12,30.14,27.94,125.84,23.98,29.92,123.2,16.06,24.42,45.32,28.16,47.96,83.6,14.08,54.12,21.12,34.54,39.6,55.66,263.12,25.96,41.36,44.22,30.36,37.4,36.96,33.44,22.44
"98",161.48,9.24,43.12,30.36,27.94,125.84,23.98,29.48,122.76,16.28,24.42,45.1,28.16,47.96,83.38,14.74,53.9,21.12,34.98,39.6,55.66,262.24,25.08,42.9,44.44,30.36,37.4,37.18,33.44,22.22
"99",161.48,9.02,43.12,30.36,27.94,124.96,23.98,29.48,122.54,16.5,24.42,44.66,28.16,47.96,83.16,14.74,53.9,21.56,37.18,39.38,55.66,262.02,25.08,42.68,44.66,30.36,37.4,37.4,33.44,22.22
"100",161.48,9.02,43.56,30.36,27.94,124.74,22,28.82,121.88,16.72,24.42,44.44,28.16,47.08,84.48,14.74,53.9,21.56,37.4,39.16,55.66,261.8,25.08,42.46,43.12,30.36,37.4,37.62,33.44,22.22
"101",161.7,8.8,43.56,30.58,27.28,124.08,21.78,28.6,121.66,16.94,24.42,44.44,28.16,47.08,84.48,14.74,53.9,21.78,37.62,39.16,56.54,261.58,25.08,42.24,43.34,30.36,37.4,39.16,33.44,22.22
"102",161.92,8.8,43.56,30.58,27.28,123.86,21.56,27.94,121.44,17.16,24.42,44.44,28.16,47.08,84.48,14.74,53.9,22.22,38.28,39.16,56.54,261.36,25.08,42.02,43.56,30.36,36.96,39.16,33.44,22.22
"103",162.14,9.02,43.56,31.24,27.28,123.64,21.56,27.72,121.22,17.16,24.42,44.44,28.16,47.08,84.48,14.74,53.9,22.22,38.28,39.16,56.54,261.36,25.08,41.8,43.78,30.36,36.96,39.16,35.2,22.22
"104",162.14,9.02,44.22,31.9,24.42,122.32,21.56,27.72,121,17.38,24.42,44,28.16,47.08,85.8,14.96,53.24,22.44,38.28,39.16,56.54,261.14,25.08,41.58,44,31.02,36.96,39.16,35.2,22.22
"105",162.14,8.8,44.22,31.9,24.42,122.1,21.56,27.5,120.78,17.6,24.42,44,28.16,47.08,85.58,15.18,53.24,22.44,38.94,39.38,56.54,261.14,25.08,41.36,44.22,31.02,36.3,39.16,35.2,22.22
