"","Animal_A.tifdiff_vec2.txt","Animal_B.tiffdiff_vec2.txt","Animal_C.tifdiff_vec2.txt","Animal_D.tifdiff_vec2.txt","Animal_E.tifdiff_vec2.txt","Animal_F.tifdiff_vec2.txt","Animal_G.tifdiff_vec2.txt","Animal_H.tifdiff_vec2.txt","Animal_I.tifdiff_vec2.txt","Animal_J.tifdiff_vec2.txt","Animal_K.tifdiff_vec2.txt","Animal_L.tifdiff_vec2.txt","Animal_M.tifdiff_vec2.txt","Animal_N.tifdiff_vec2.txt","Animal_O.tifdiff_vec2.txt","Animal_P.tiffdiff_vec2.txt","Animal_R.tiffdiff_vec2.txt","Animal_U.tifdiff_vec2.txt","Animal_V.tifdiff_vec2.txt","Animal_W.tifdiff_vec2.txt","Animal_X.tifdiff_vec2.txt","Animal_Y.tifdiff_vec2.txt","Animal_Z.tifdiff_vec2.txt","Animal_Z1.tifdiff_vec2.txt","Animal_Z10.tiffdiff_vec2.txt","Animal_Z2.tifdiff_vec2.txt","Animal_Z4.tifdiff_vec2.txt","Animal_Z6.tiffdiff_vec2.txt","Animal_Z8.tiffdiff_vec2.txt","Animal_Z9.tiffdiff_vec2.txt"
"11",8.83314504401653e-05,0.000125706918138707,6.12090856888255e-05,3.35712653859274e-05,4.90466938557978e-05,9.25263107512727e-05,0.000249220059104306,0.000142807561495125,0.000102345414599452,0.000147085690899714,6.12116127108642e-05,3.80126529127228e-05,6.64982935793252e-05,4.46048826562713e-05,4.10715365754874e-05,1.3684184554632e-05,0.000139362782997182,0.000225972245262388,0.000155117835059891,0.000132056955320426,3.39242469286567e-05,0.00018605518838711,9.59004781179235e-05,0.000140212305676447,5.21501849296183e-05,0.00010135830439107,2.64329547768511e-05,7.28151754384678e-05,0.000764116186959999,0.000220445556729464
"12",0.00010133140803159,0.000143699570223209,7.03056960241032e-05,3.95455443696919e-05,5.92415337203011e-05,0.000112376351214967,0.000291208352700486,0.000166374431455779,0.000116665181484243,0.000173742048842298,7.22747250540088e-05,4.45161040349041e-05,7.90623159306024e-05,5.27893768764143e-05,4.8459629624823e-05,1.58834872550684e-05,0.000170265622827215,0.000257317014890527,0.000180408471763255,0.000150742791499893,3.86972276459854e-05,0.000211983835327166,0.000112889939356774,0.000163507513516625,6.10482263257062e-05,0.000119758191860547,3.07823550576015e-05,8.65542754278195e-05,0.000962468963526054,0.00027720020925175
"13",0.000116504329277165,0.000163679585542473,8.04462929303963e-05,4.65446822580165e-05,7.08816121552497e-05,0.000135548378459677,0.00033878350814436,0.000193309712299368,0.000132505059513137,0.000204063735777805,8.50767706040017e-05,5.21053786800562e-05,9.34978113330115e-05,6.21845864942858e-05,5.68926693855955e-05,1.83458777189229e-05,0.000206309295016975,0.000293149046895141,0.000209219887624782,0.000171442158123828,4.39954897515648e-05,0.000240647663293777,0.000132170299790279,0.000190612699220555,7.11205188445604e-05,0.000140847017043268,3.57090242896729e-05,0.000102638011790384,0.00119729901624718,0.000347453163967392
"14",0.000133433492206489,0.000185952722503551,9.19689593201878e-05,5.45318120401134e-05,8.43223467169709e-05,0.000162410460917514,0.000392446564286591,0.000224658150733759,0.000149997008811911,0.000238362805647507,0.0001001626892577,6.06835813361439e-05,0.000109994673384494,7.29170898895693e-05,6.64710139699095e-05,2.10896880959239e-05,0.00024798556160567,0.000333578129785875,0.00024150752120213,0.000194284830948639,5.01353186363283e-05,0.000272215087191588,0.000154152221438987,0.000221016905701188,8.24687010562097e-05,0.000165493886594978,4.14942733930752e-05,0.000121419548003746,0.00147163591411042,0.000434646481808525
"15",0.00015224210721457,0.000211687076502207,0.000105113470209508,6.36031750371261e-05,9.93095474409957e-05,0.000193342977009522,0.00045271536325475,0.000259924296203098,0.000170106391328202,0.000277622637552063,0.00011733921454908,7.03313017490763e-05,0.000128750953288966,8.56263361016134e-05,7.74467902231541e-05,2.41779355252081e-05,0.000295771304838169,0.000378260174063244,0.000277526238952487,0.000220484070361534,5.69302390782225e-05,0.000308660910756102,0.0001795367943755,0.000254936959280305,9.56229081897322e-05,0.00019440182879619,4.81342778302921e-05,0.000142822066260255,0.00178800601125846,0.000539597523799713
"16",0.000173373278342573,0.000240163669026616,0.000119699400703105,7.38589958427031e-05,0.000115806996882752,0.000228736267919074,0.00052170103142709,0.000299422808923725,0.000192239408849508,0.000322384341710673,0.000136800383839372,8.11306264820827e-05,0.000150341861217604,0.000100299331062125,9.02070904073368e-05,2.76654102822464e-05,0.000350118325246201,0.000427465743700394,0.000317534894535116,0.000249607008126368,6.44232376456594e-05,0.000348826782622785,0.000207981702688387,0.000292584569092347,0.000110492497394463,0.000227348690855409,5.56361505385858e-05,0.000167073003474806,0.00214827984585032,0.000664925110722318
"17",0.000197706808459194,0.0002715627970365,0.000135826065597602,8.59494715272231e-05,0.000133744537503401,0.000270208846005514,0.000600681569699385,0.00034347642496007,0.000216516440554667,0.000372311300487121,0.000158747386504461,9.33142882357681e-05,0.000175304735585403,0.000116970864393409,0.000104574104860452,3.15065836764641e-05,0.00041144265069758,0.000482975095322419,0.000363330042217087,0.00028160777359874,7.26576865821136e-05,0.000392879828297248,0.000239687583795476,0.000334165689106059,0.000127089895331046,0.000264729003550567,6.40803520243128e-05,0.000194402783219041,0.00255712379344872,0.000813440919088669
"18",0.000224639107275664,0.000306235948366401,0.000153751236390519,9.96389220367121e-05,0.000153007111997897,0.000317329878478335,0.000688826435907706,0.000393397568565496,0.000243058896636207,0.000427692476982217,0.000183576463259728,0.000107184837073118,0.000203398631249962,0.000135828052806856,0.000120674939481305,3.57176066563487e-05,0.000481210401228262,0.000545208439966436,0.000414095998351307,0.000316650446073748,8.207621319593e-05,0.000441032242085149,0.000274851083761785,0.000381152099265758,0.000145533597579443,0.000306955014249091,7.36620855385254e-05,0.00022504387724708,0.00301383854754423,0.000988136936536835
"19",0.000254333124540515,0.000345968475024674,0.000174195154096713,0.000115019109218723,0.000173432544658786,0.000370338512596218,0.00078680558423221,0.000449856318283107,0.000273064569642611,0.000488800384924332,0.000212248364270346,0.000122544808696019,0.000234861261787538,0.000157160067767719,0.00013863929981233,4.03137767879114e-05,0.000559255999578807,0.000613454824534514,0.000469931687628045,0.000356321813855937,9.24485922779145e-05,0.000496043390018437,0.000313664032923488,0.000432691377574118,0.000165943089752508,0.000356021977813654,8.48142821837015e-05,0.000260273359336944,0.00351353996860234,0.00119222463158284
"20",0.000287505000680755,0.000389614818172841,0.000196687620199512,0.000132225832258898,0.000194810199783428,0.000429589162777447,0.00089530350476006,0.000512307238346809,0.000305978009825554,0.000555888923992776,0.000244284437117878,0.000139476260418277,0.000269932592044222,0.000182163841122083,0.000158877197669724,4.53750038508475e-05,0.000645154074713589,0.000688053183125362,0.000531090468815846,0.000400091316321608,0.00010379813423428,0.000556102407358208,0.000357364876726309,0.000488804907884432,0.000189098455759332,0.000412011716188787,9.73333618807615e-05,0.000299509472708688,0.00405342232578656,0.00143753337939966
