"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"22",40.04,3.3,15.4,5.94,11.22,51.26,10.12,5.72,3.96,8.36,9.68,17.38,12.32,3.52,28.38,6.16,9.46,2.86,7.92,4.4,27.06,12.98,13.86,11.88,21.56,13.86,5.72,7.04,40.7,9.46
"23",40.04,2.64,15.4,5.94,11.22,51.48,10.12,5.72,3.96,8.36,10.34,17.16,12.1,3.52,28.38,6.82,10.12,2.86,8.14,4.62,25.74,13.2,13.86,11.88,21.56,13.86,5.72,7.04,40.7,9.68
"24",40.04,2.64,15.4,5.94,11.22,51.48,9.46,5.28,3.96,8.8,10.34,17.16,11.66,3.52,28.6,6.82,10.12,2.86,8.36,4.62,25.74,13.42,13.64,12.54,23.32,13.86,5.72,7.04,40.7,9.9
"25",41.36,2.2,15.84,5.94,11.88,51.48,9.46,5.28,3.52,8.8,10.34,17.16,11.66,5.06,28.6,6.82,10.12,2.86,7.92,4.62,25.74,13.2,13.2,12.54,23.32,13.86,5.72,7.04,40.7,10.12
"26",41.36,2.2,15.84,5.94,11.88,51.48,9.46,4.84,3.52,7.7,11.66,17.16,11,5.06,28.82,6.82,10.12,2.86,7.92,4.62,25.74,13.86,12.98,12.54,23.32,14.74,5.94,7.04,40.7,10.34
"27",41.36,2.86,16.28,6.82,11.88,51.7,9.46,4.62,7.7,7.92,11.66,17.6,11,5.06,28.82,6.82,10.12,2.86,7.92,4.62,24.86,13.86,12.98,12.54,23.32,14.74,6.16,7.04,40.7,10.56
"28",42.02,3.3,16.28,6.82,11.22,51.92,9.46,4.62,7.92,7.7,11.66,16.94,11,5.06,28.82,6.82,10.12,2.86,7.92,4.62,24.86,13.64,13.64,12.54,23.32,14.74,6.16,10.12,40.7,9.24
"29",42.02,3.3,17.16,6.82,11.22,51.92,9.46,4.4,6.38,7.7,11.66,16.5,10.34,5.06,28.82,6.82,10.12,2.86,7.92,4.62,24.86,13.64,13.86,12.54,23.32,14.52,6.16,10.34,40.7,9.24
"30",42.02,3.3,17.16,6.82,11.22,51.92,5.06,4.84,6.38,7.92,11.66,16.28,10.12,5.06,30.14,6.82,10.12,2.86,7.48,4.62,24.86,13.64,13.86,12.54,23.32,14.52,6.38,10.56,40.7,9.24
"31",42.02,3.3,17.16,7.04,11,51.92,5.06,4.62,6.38,7.92,11.66,15.62,9.9,5.06,30.36,7.48,10.12,3.08,7.7,4.84,24.86,13.64,13.86,12.54,24.86,14.52,6.6,10.78,40.7,9.24
"32",42.02,3.52,17.38,7.04,11,51.92,5.06,4.62,6.38,7.92,11.66,15.4,9.9,5.72,30.58,7.48,10.78,3.08,7.92,4.84,24.86,13.64,13.86,12.54,24.86,14.52,7.48,11,40.7,9.24
"33",42.02,3.52,17.6,6.16,11,51.92,5.06,4.4,6.38,8.14,11.66,15.18,9.9,5.72,31.46,7.48,10.78,3.08,7.92,5.28,24.86,13.42,13.86,12.98,24.86,14.52,7.7,11.22,40.7,9.24
"34",42.02,3.74,17.6,6.38,11.66,52.14,5.06,4.18,6.38,8.14,11.66,14.08,10.12,5.72,31.46,8.14,10.78,3.52,7.92,5.5,25.08,13.2,13.86,12.98,24.86,14.52,7.92,12.76,40.7,9.46
"35",42.02,3.52,17.6,6.38,11.66,52.36,5.06,4.18,6.6,9.24,11.66,14.08,10.34,6.6,31.46,8.14,10.78,3.52,7.92,5.28,25.3,13.64,13.86,12.98,24.86,14.52,8.36,12.76,40.92,9.68
"36",42.02,3.52,17.6,6.82,11.66,52.58,5.06,3.96,6.82,9.24,11.66,12.54,10.34,6.82,32.12,8.8,11,3.52,7.92,5.5,25.52,13.64,13.86,12.76,24.86,14.74,8.36,12.76,41.14,9.9
"37",42.02,3.52,18.04,6.82,11.66,52.58,5.06,3.3,6.82,9.68,11.66,12.54,10.34,7.04,32.12,8.8,11,3.74,7.92,5.28,25.74,14.3,13.86,12.54,24.86,14.74,9.24,12.76,41.36,10.12
"38",42.02,3.08,18.04,6.82,11.66,52.58,5.06,3.3,7.04,9.46,11.66,11,10.56,7.26,32.12,8.8,11,3.74,7.48,5.28,25.52,14.3,13.86,12.54,24.86,14.74,9.02,12.76,41.58,10.34
