"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"11",3.38371278865217e-05,0.00238263583093022,0.000286778785335823,0.000257213670051873,0.000108459490585659,0.00247714226105998,0.000946704788379541,0.000165969701578791,0.000108189614191618,0.00131230751079995,0.000622121976507998,0.000168966602042293,0.000341210216952117,0.00174666164148993,9.73879556392682e-05,7.60602465876894e-05,7.45426884020259e-05,0.000642028567415534,0.00798152670151084,0.000441516448382522,0.000167360099085848,0.000216206650146211,0.000312282425947018,0.000924460664012274,0.00146743401433247,1.98761039585095e-05,0.000241474371036512,2.05747149601448e-05,7.07166828694688e-05,0.00019619099204863
"12",3.9527255797467e-05,0.00295436413511158,0.00034831080003689,0.000302387983176016,0.000126250177519091,0.00302527779436914,0.00115811958216325,0.000191655045173905,0.000132730933809529,0.00158258181219,0.000769434456800544,0.000197927620823753,0.000393637058734426,0.00214425626147175,0.000114723572991172,9.20306830954472e-05,9.03700154708331e-05,0.00076592081912985,0.0103106782301649,0.000544066005268204,0.000201329533095998,0.000260927880325488,0.000385135138921297,0.00110735024076076,0.00204369613234171,2.31634809192735e-05,0.000292992922845,2.51497454390867e-05,8.903251063258e-05,0.000240204576152846
"13",4.59890933239073e-05,0.00361517108820159,0.000419025115933466,0.000353765030281348,0.000146504261222525,0.00365999318374615,0.0014022026872241,0.000220677709184697,0.000161718353101447,0.00189354196287388,0.00095181123720838,0.000230756011463689,0.000452076593431346,0.00260454979181826,0.000135147703094899,0.000110927873068541,0.000108939647316004,0.000913795459621762,0.0130362993033114,0.000663989223801595,0.000242423661206375,0.000312801376877585,0.000474371351004734,0.00131769711973671,0.00279343220150184,2.68490974217053e-05,0.000354757346426567,3.05601548891801e-05,0.000111252291061099,0.000291584846064581
"14",5.32966405352162e-05,0.00436746879167861,0.000499439575246723,0.000411916461056707,0.000170093708183376,0.00438743301954599,0.00168088379358926,0.00025440328581299,0.000195747294314101,0.00224840438957263,0.00117081178572772,0.000267795022721375,0.000516933248106257,0.00312701926815791,0.00015890508021479,0.000134010256646874,0.000131340887240034,0.0010838346590616,0.0161728466053127,0.00080286472566955,0.000290301277925562,0.000372569377164006,0.000582217936416102,0.00155804386494447,0.00375639198131547,3.09594384098326e-05,0.000426108151955764,3.71795474815574e-05,0.00013801133785851,0.000350901933419504
"15",6.15268617122625e-05,0.00521118538915266,0.000589945990546702,0.00047743568045212,0.000196617830435838,0.00521280079082812,0.00199565050872364,0.00029214732417537,0.000235466059955692,0.00265020220043345,0.00142973141453298,0.000309400022992941,0.000588615097566375,0.00371236793838482,0.000185990642013853,0.000161087008575029,0.0001579147646099,0.00127776248394523,0.0197350118802122,0.000963167692729081,0.000345776330788927,0.000440993806009948,0.000709805057512345,0.00183095962895452,0.00495913989103933,3.56416164353163e-05,0.000507888623430367,4.50276736506569e-05,0.000170754456201694,0.000418750178950512
"16",7.10759640975233e-05,0.00615463573825464,0.000690784385904495,0.00055311383536589,0.00022631555596335,0.00614011050117022,0.00234746376225987,0.000334231208041259,0.000281578971833407,0.00310172555660117,0.00173353138503484,0.000357580965105671,0.00066964864553242,0.00435993054907807,0.000216733115944746,0.000192688529139559,0.00018881346586086,0.00149759941254379,0.0237393081558218,0.0011486237998597,0.000409716175178681,0.000519637745235169,0.000859712567988766,0.00213902222902439,0.00640633968915724,4.08464243667172e-05,0.000600933328661752,5.42154297556244e-05,0.000210423608330398,0.000495661573015391
"17",8.19995883134951e-05,0.00717723802382031,0.000802017698692494,0.000638870944319508,0.000259432992844357,0.00717193686632918,0.00274312123477337,0.000380986816757748,0.000336153816847469,0.00360641616566315,0.00208739286835195,0.000411783803508902,0.000759572614842444,0.00506763370734529,0.000251477576337243,0.00022938967491069,0.000224537777097854,0.00174536795170965,0.0282036396326367,0.00135753565112619,0.000483041784066411,0.000610664806661249,0.0010346802918491,0.00249118752799867,0.00809776872386981,4.65659131075731e-05,0.000706063176347719,6.49083264348763e-05,0.000257461309932731,0.000582087957979228
"18",9.42572734179681e-05,0.00826704402227808,0.000925003298423997,0.000734630081418057,0.000296704726744813,0.00831806585863921,0.00317535345132491,0.000434036488949634,0.000399674468700312,0.0041770802943552,0.00249668137047956,0.000472146405357223,0.000858012860563522,0.00583202432348146,0.000291693293241791,0.000271810789317177,0.000265617265235389,0.00202414067659787,0.0331446987908534,0.00159081668037056,0.000569541575737918,0.000713170432017408,0.00123759707490577,0.00288881555572996,0.0100259231432592,5.28174825301398e-05,0.00082408173729802,7.72826228224241e-05,0.000312838955346893,0.000678656086326729
"19",0.000107961255078585,0.00940990334358954,0.00105789435371734,0.000841099690548726,0.000339068756644149,0.00957812153069715,0.00364245317257916,0.000493800484095544,0.000472690116243571,0.0048039704112174,0.00297865905069672,0.000539089502898859,0.000965354678736599,0.00664837216168325,0.000337622497231393,0.000321935747624375,0.000313128004235712,0.00234302873053864,0.0385739225170165,0.00184920985924232,0.000669049499580454,0.000827870823658245,0.00147448271498788,0.00333051297923246,0.0121835520032345,5.96159097134035e-05,0.000956521112386543,9.15473526203975e-05,0.000377586427593713,0.000787142700870123
"20",0.000123360888564413,0.0105891942920433,0.00119940606615318,0.000958998040918443,0.00038594954526798,0.0109345947209797,0.00414229658508093,0.00055985753366899,0.000556269193754788,0.00548750229195477,0.00353526233114868,0.000613039237209655,0.00108197441884735,0.00751603162015003,0.000389179796262154,0.000380548828009091,0.000368970133275693,0.00269688317911325,0.0444935600831624,0.00213330855866601,0.000782093862019166,0.000955436829724797,0.00175218744254829,0.00381839108542232,0.0145694809007866,6.70657119701799e-05,0.00110595701878876,0.000108501612011622,0.000452785804340974,0.000905689950057644
